,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label
3613,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/17444262/ALLSTREAMS.DST,17,0,1,0.0,0.0,0.0,63,71442,0,0,2.9444389791664403,0
3614,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27163203/ALLSTREAMS.DST,17,1,2,1.0,0.0,0.0,62,745579,91,0,5.2574953720277815,0
3615,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27163401/ALLSTREAMS.DST,17,1,2,1.0,0.0,0.0,62,1060787,91,0,5.6131281063880705,0
3616,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27165101/ALLSTREAMS.DST,3,11,4,4.333333333333333,4.714045207910317,1.0878565864408425,70,5499121,37161,33,7.00850518208228,0
3617,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/27165401/ALLSTREAMS.DST,15,0,1,0.0,0.0,0.0,65,97175,0,0,3.1780538303479458,1
3618,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/30000000/ALLSTREAMS.DST,7,0,1,0.0,0.0,0.0,73,1689293,0,0,5.762051382780177,0
3619,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/32123200/ALLSTREAMS.DST,16,1,3,1.0,0.0,0.0,62,291746,98,1,4.31748811353631,1
3620,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/34112401/ALLSTREAMS.DST,10,3,5,1.75,0.82915619758885,0.47380354147934284,66,526723,703,5,4.795790545596741,0
3621,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/34114001/ALLSTREAMS.DST,18,0,1,0.0,0.0,0.0,62,80724,0,0,3.091042453358316,1
3622,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/34114101/ALLSTREAMS.DST,4,12,3,7.0,5.0,0.7142857142857143,68,435620,3956,43,4.532599493153256,0
3623,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/34114201/ALLSTREAMS.DST,18,0,1,0.0,0.0,0.0,62,99944,0,0,3.295836866004329,1
3624,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/34124001/ALLSTREAMS.DST,18,0,1,0.0,0.0,0.0,62,149916,0,0,3.6888794541139363,0
3625,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/34124004/ALLSTREAMS.DST,18,0,1,0.0,0.0,0.0,62,46128,0,0,2.5649493574615367,0
3626,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/35103100/ALLSTREAMS.DST,10,4,2,4.0,0.0,0.0,68,490568,424,4,4.672828834461906,1
3627,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/36103100/ALLSTREAMS.DST,5,5,3,4.5,0.5,0.1111111111111111,68,520330,538,4,4.727387818712341,0
3628,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/37103000/ALLSTREAMS.DST,16,0,1,0.0,0.0,0.0,64,94208,0,0,3.1780538303479458,0
3629,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/37113000/ALLSTREAMS.DST,14,2,3,2.0,0.0,0.0,64,221256,72,1,4.007333185232471,1
3630,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/38114002/ALLSTREAMS.DST,15,0,1,0.0,0.0,0.0,65,114075,0,0,3.332204510175204,1
3631,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/40112008/ALLSTREAMS.DST,18,0,1,0.0,0.0,0.0,62,138384,0,0,3.6109179126442243,1
3632,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/41900006/ALLSTREAMS.DST,9,7,2,7.0,0.0,0.0,67,373356,1037,12,4.406719247264253,0
3633,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/41900007/ALLSTREAMS.DST,9,7,2,7.0,0.0,0.0,67,364219,1012,12,4.382026634673881,0
3634,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20r0p1Filtered/11876120/B2DMUKSHH.STRIPTRIG.DST,2,11,5,3.75,4.205650960315181,1.1215069227507148,68,587322,4970,40,4.820281565605037,1
3635,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20r0p1NoPrescalingFlagged/21123401/ALLSTREAMS.DST,16,0,1,0.0,0.0,0.0,64,172032,0,0,3.7612001156935624,1
3636,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20r0p1NoPrescalingFlagged/27263502/ALLSTREAMS.DST,17,0,1,0.0,0.0,0.0,63,496125,0,0,4.836281906951478,1
3637,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20r0p2NoPrescalingFlagged/12164001/ALLSTREAMS.DST,2,3,2,3.0,0.0,0.0,76,339561,145,2,4.07753744390572,1
3638,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20r0p2NoPrescalingFlagged/12164002/ALLSTREAMS.DST,2,3,2,3.0,0.0,0.0,76,339561,145,2,4.07753744390572,1
3639,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20r0p2NoPrescalingFlagged/12164003/ALLSTREAMS.DST,3,0,1,0.0,0.0,0.0,77,100793,0,0,2.8903717578961645,1
3640,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08c/Digi13/Trig0x409f0045/Reco14a/Stripping20r0p2NoPrescalingFlagged/12165201/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,63,222867,36,0,4.02535169073515,1
3641,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20Filtered/11114013/B2XMUMU.STRIP.DST,8,4,3,2.5,1.5,0.6,69,626145,867,6,4.859812404361672,1
3642,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20Filtered/27165101/PROMPTD2KSKK.NOPIDSTRIPTRIG.DST,3,4,3,2.5,1.5,0.6,75,135112,112,4,3.2188758248682006,0
3643,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11102202/ALLSTREAMS.DST,2,2,3,1.5,0.5,0.3333333333333333,75,1458733,208,0,5.552959584921617,0
3644,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11144403/ALLSTREAMS.DST,11,0,1,0.0,0.0,0.0,69,318987,0,0,4.219507705176107,0
3645,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11144413/ALLSTREAMS.DST,11,0,1,0.0,0.0,0.0,69,309465,0,0,4.189654742026425,0
3646,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11146012/ALLSTREAMS.DST,9,0,1,0.0,0.0,0.0,71,458731,0,0,4.5217885770490405,1
3647,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11164072/ALLSTREAMS.DST,2,4,3,3.5,0.5,0.14285714285714285,74,1015666,1570,8,5.209486152841421,0
3648,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11164406/ALLSTREAMS.DST,3,9,3,5.5,3.5,0.6363636363636364,73,742526,2890,21,4.919980925828125,0
3649,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11164454/ALLSTREAMS.DST,2,8,4,3.6666666666666665,3.091206165165235,0.8430562268632459,71,2269204,10765,24,6.100318952020064,0
3650,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11164470/ALLSTREAMS.DST,2,12,2,12.0,0.0,0.0,73,514872,3142,33,4.553876891600541,0
3651,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11364601/ALLSTREAMS.DST,10,2,3,1.5,0.5,0.3333333333333333,68,1165896,376,1,5.53338948872752,0
3652,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11442012/ALLSTREAMS.DST,2,7,3,4.0,3.0,0.75,73,1059786,2600,13,5.272999558563747,0
3653,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11453001/ALLSTREAMS.DST,10,0,1,0.0,0.0,0.0,70,416500,0,0,4.454347296253507,0
3654,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11464601/ALLSTREAMS.DST,10,2,3,1.5,0.5,0.3333333333333333,67,1100731,591,2,5.476463551931511,0
3655,/MC/2012/Beam4000GeV-2012-MagDown-Nu2.5-Pythia8/Sim08d/Digi13/Trig0x409f0045/Reco14a/Stripping20NoPrescalingFlagged/11572400/ALLSTREAMS.DST,2,7,2,7.0,0.0,0.0,75,258135,510,11,3.828641396489095,0
