,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label,Target
1683,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08d/Digi13/Trig0x40760037/Reco14a/Stripping20r1p2NoPrescalingFlagged/12164002/ALLSTREAMS.DST,26,3,2,3.0,0.0,0.0,78,406857,165,2,4.204692619390966,1,0.0
1684,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08d/Digi13/Trig0x40760037/Reco14a/Stripping20r1p2NoPrescalingFlagged/12164003/ALLSTREAMS.DST,27,0,1,0.0,0.0,0.0,79,118579,0,0,2.995732273553991,1,0.0
1685,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08d/Digi13/Trig0x40760037/Reco14a/Stripping20r1p2NoPrescalingFlagged/12167000/ALLSTREAMS.DST,25,4,3,2.5,1.5,0.6,79,463817,245,3,4.31748811353631,1,0.0
1686,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08d/Digi13/Trig0x40760037/Reco14a/Stripping20r1p2NoPrescalingFlagged/12167001/ALLSTREAMS.DST,25,5,2,5.0,0.0,0.0,77,163017,162,6,3.332204510175204,1,0.0
1687,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1Filtered/27165005/D02HHHH.STRIPTRIG.DST,27,1,2,1.0,0.0,0.0,78,68337,9,0,2.4849066497880004,0,0.9230769230769231
1688,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11104071/ALLSTREAMS.DST,15,3,3,2.0,1.0,0.5,89,182957,62,2,3.1780538303479458,1,0.0
1689,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11134010/ALLSTREAMS.DST,16,0,1,0.0,0.0,0.0,90,178200,0,0,3.1354942159291497,0,0.34615384615384615
1690,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164011/ALLSTREAMS.DST,14,2,3,1.5,0.5,0.3333333333333333,90,749258,98,1,4.532599493153256,1,0.0
1691,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164012/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,612199,57,0,4.343805421853684,1,0.0
1692,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164091/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,483315,45,0,4.110873864173311,1,0.0
1693,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164092/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,555678,51,0,4.248495242049359,1,0.0
1694,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164201/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,76176,0,0,2.302585092994046,1,0.0
1695,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164202/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,59248,0,0,2.0794415416798357,1,0.0
1696,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164203/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,76176,0,0,2.302585092994046,1,0.0
1697,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164243/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,76176,0,0,2.302585092994046,1,0.0
1698,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164245/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,59248,0,0,2.0794415416798357,1,0.0
1699,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164247/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,59248,0,0,2.0794415416798357,1,0.0
1700,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164430/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,152352,0,0,2.9444389791664403,1,0.0
1701,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164440/ALLSTREAMS.DST,13,1,2,1.0,0.0,0.0,92,76361,1,0,2.302585092994046,1,0.0
1702,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/11164441/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,76176,0,0,2.302585092994046,1,0.0
